Date	Toyota	Ford	GM
11/2/1998	0.021856491	-0.002530067	0.025832398
11/9/1998	-0.016830208	-0.004512701	0.023428059
11/16/1998	0.026251282	0.01606889	0.009858835
11/23/1998	0.002124993	-0.002095744	-0.002600262
11/30/1998	-0.009464851	0.00981925	-0.011951388
12/7/1998	0.005293604	-0.011733288	-0.003985863
12/14/1998	0.003110051	0.015451585	0.016354341
12/21/1998	-0.020207602	0.015099507	0.011620269
12/28/1998	0.027930157	-0.001432725	-0.011307714
1/4/1999	-0.008254127	0.044302025	0.048715593
1/11/1999	-0.031809789	-0.020396274	0.017337586
1/19/1999	0.008875022	-0.008053827	0.037102212
1/25/1999	0.025498027	0.00737418	-0.004789758
2/1/1999	-0.002031687	-0.030826451	-0.016502214
2/8/1999	0.002031687	0.004901181	-0.010917983
2/16/1999	-0.024377989	0.006805579	0.008409353
2/22/1999	0.022346301	0.003715722	-0.014914758
3/1/1999	-0.002041237	0.005949333	0.030758596
3/8/1999	0.025312579	-0.016109774	0.001836343
3/15/1999	0.015497443	0.004664091	0.003979817
3/22/1999	-0.010491111	-0.012122316	-0.009174989
3/29/1999	0.033285467	-0.003500165	-0.012485009
4/5/1999	-0.006815032	0.030185123	0.000866683
4/12/1999	0.011781071	0.029836672	0.011618327
4/19/1999	-0.016410869	-0.007474014	0.005777839
4/26/1999	-0.009329736	0.004402497	-0.000249618
5/3/1999	0.003771961	0.006281394	-0.012068028
5/10/1999	-0.022213315	-0.028583405	-0.015417266
5/17/1999	-0.006951573	-0.018312659	0.001062711
5/24/1999	0	-0.008272526	0.000530382
6/1/1999	0.02061106	-0.006401593	-0.003993745
6/7/1999	0.036257808	-0.015187325	-0.030371
6/14/1999	-0.0080203	0.005498672	-0.00645409
6/21/1999	0.005840744	-0.013004946	0.004729557
6/28/1999	0.034042826	0.031449097	0.033697441
7/6/1999	-0.00993562	-0.011157473	-0.016106933
7/12/1999	0.014853913	-0.015273053	0.018940261
7/19/1999	-0.008204975	-0.00501857	-0.02227175
7/26/1999	0.027207547	-0.038336032	-0.030693744
8/2/1999	-0.024687862	-0.003406249	-0.006326983
8/9/1999	-0.002519685	0.004465246	0.030940037
8/16/1999	0.021767185	0.026664786	-0.00721941
8/23/1999	-0.040265851	-0.000597242	0.018930178
8/30/1999	0.01355703	0.007113262	0.003652624
9/7/1999	-0.010564149	-0.014547585	-0.011144633
9/13/1999	0.02371076	-0.006945591	0.001676096
9/20/1999	-0.019079785	-0.002271096	-0.020553147
9/27/1999	0.004653328	0.008202217	0.001362036
10/4/1999	0.020513999	0.012612342	0.033991809
10/11/1999	-0.02222635	-0.013222163	-0.034866912
10/18/1999	0.023447231	0.027583522	0.025056036
10/25/1999	0.007120842	0.012048821	0.029479077
11/1/1999	0.007071526	-0.009384429	-0.009722769
11/8/1999	-0.019028129	-0.002664392	0.017886759
11/15/1999	0.017846554	-0.024542941	-0.009281423
11/22/1999	0.011929424	0.00161298	0.010038987
11/29/1999	-0.013839861	0.014253423	0.025873568
12/6/1999	0.014159501	-0.028990559	-0.017626432
12/13/1999	0.104963521	0.009880111	-0.010523804
12/20/1999	0.010853591	0.02318108	0.010936201
12/27/1999	0.016471985	0.004032832	-0.000742595
1/3/2000	-0.053971418	0.010761161	0.012534856
1/10/2000	0.008454716	-0.02356398	0.041151923
1/18/2000	-0.009095505	-0.011167048	-0.001681755
1/24/2000	0.000640789	-0.008156005	-0.015815975
1/31/2000	0.019766587	-0.008521965	0.018081165
2/7/2000	-0.008235269	-0.017781247	-0.044149006
2/14/2000	-0.019827446	-0.026602372	-0.001050094
2/22/2000	-0.011072093	-0.004439961	0.019065983
2/28/2000	-0.001621025	-0.002591404	-0.006786599
3/6/2000	0.039223569	-0.016863246	0.010946244
3/13/2000	0.010763798	0.036271123	0.012692062
3/20/2000	0.007619397	0	0.027619029
3/27/2000	0.046908524	0.012472904	-0.013265722
4/3/2000	-0.025800975	0.022462983	0.009405925
4/10/2000	0.016591086	0.033493248	-0.013313299
4/17/2000	0.018530244	0.023298197	0.034029044
4/24/2000	-0.026609108	0.000913727	0.023162628
5/1/2000	0.009111883	-0.015044418	-0.035846647
5/8/2000	-0.023172167	0.003950724	-0.003473819
5/15/2000	0.0030649	0.000561467	0.009725734
5/22/2000	-0.016471746	-0.044885538	-0.091369322
5/30/2000	-0.003774153	0.001656034	-0.011429462
6/5/2000	0.009783904	0.0132262	-0.000345845
6/12/2000	-0.054656183	-0.04471215	-0.03803239
6/19/2000	0.025750573	-0.005364488	-0.007811605
6/26/2000	0.020006917	0.003137332	-0.026352971
7/3/2000	-0.019390022	0.031642075	0.015254054
7/10/2000	0.008445022	0.011674735	0.011963184
7/17/2000	-0.038375222	-0.001011634	-0.012950442
7/24/2000	-0.001985854	-0.007148201	-0.018887541
7/31/2000	0.021149805	0.042719804	0.014416896
8/7/2000	-0.00031608	0	0.030927473
8/14/2000	-0.012672834	-0.020834841	0.044005624
8/21/2000	0.010453806	-0.001962473	0.008899959
8/30/2000	0.004059596	-0.043403585	0.010090864
9/5/2000	-0.020358344	0.017050059	0.0011247
9/11/2000	-0.022053578	-0.002095009	-0.020115522
9/18/2000	-0.012204701	-0.004220582	-0.010978147
9/25/2000	0.009884127	-0.002125773	-0.021193608
10/2/2000	0.014191649	-0.003208297	-0.01877073
10/9/2000	-0.002144668	0.001072068	-0.03307238
10/16/2000	-0.006555728	-0.005387001	0.004665516
10/23/2000	0.004911852	0.008587417	0.01243057
10/30/2000	0.000794372	0.000849476	-0.022327995
11/6/2000	0.010916012	-0.004264094	-0.010551028
11/13/2000	-0.041746633	-0.00214785	0.005881708
11/20/2000	-0.01757411	-0.015563062	-0.036547949
11/27/2000	-0.001523619	0.002226015	-0.00905888
12/4/2000	-0.025471245	-0.001111581	0.005869711
12/11/2000	0.014066373	-0.030185881	0.023258419
12/18/2000	-0.028464194	0.005924983	-0.031335329
12/26/2000	-0.017278789	0.011841963	0.007619397
1/2/2001	0.017418187	0.049111661	0.025338252
1/8/2001	-0.043348341	0.002040861	-0.009164052
1/16/2001	0.05530783	-0.001019232	0.020564071
1/22/2001	-0.008903999	0.031674169	-0.013455983
1/29/2001	0.011809442	0.00018969	0.017850231
2/5/2001	-0.005012188	-0.01721544	-0.012246353
2/12/2001	0.011429462	0.010719053	0.001282998
2/20/2001	0.002118191	0.011774336	-0.008952619
2/26/2001	-0.018963123	-0.004520018	0.010444675
3/5/2001	0.015182876	0.0305182	0.03562875
3/12/2001	-0.005429171	-0.02487549	-0.03213191
3/19/2001	0.035720877	-0.008110838	-0.021305408
3/26/2001	-0.015428592	0.003413686	-0.002334026
4/2/2001	-0.00779374	-0.004939536	0.00608653
4/9/2001	-0.017109366	0.018332118	0.004264792
4/16/2001	-0.001570687	0.014588912	0.028837308
4/23/2001	0.004153354	-0.005525676	-0.013128549
4/30/2001	0.016096676	-0.003421786	0.009960367
